カテゴリ,項目,詳細,確認
設備の固定・点検,マシニングセンター,アンカーボルトによる床への固定がされている,
設備の固定・点検,マシニングセンター,電源ケーブルや配管が適切に固定されている,
設備の固定・点検,CVD装置,装置本体の転倒防止策が講じられている,
設備の固定・点検,CVD装置,高温ガス・薬液の漏洩防止のためのバルブの定期点検を実施,
設備の固定・点検,ラップ機,使用中のスラリー液が安全に保管されている,
設備の固定・点検,ラップ機,振動による移動を防ぐためのストッパーが設置されている,
設備の固定・点検,超音波加工機,本体の据え付けが安定しているか確認,
設備の固定・点検,超音波加工機,水槽の液体が溢れないような対策が設置されている,
設備の固定・点検,ブラスト装置,ホースや配管の破損がないか定期点検,
設備の固定・点検,ブラスト装置,装置本体が壁または床に固定されている,
設備の固定・点検,三次元測定機,測定台や機器が転倒防止措置されている,
設備の固定・点検,三次元測定機,振動を最小化するための防振台の定期点検,
設備の固定・点検,表面粗さ・形状測定機,機器が滑らないようにゴム製マットやアンカーで固定されている,
設備の固定・点検,表面粗さ・形状測定機,精密部品の脱落防止対策を確認,
従業員の安全確保,避難経路,工場内の避難経路が明確に示されている,
従業員の安全確保,避難誘導,緊急時の避難誘導用の照明・標識が設置されている,
従業員の安全確保,安全手順,地震発生時の安全確保手順が全従業員に周知されている,
従業員の安全確保,緊急連絡先,緊急連絡先リストを常に最新の状態に保つ,
建物および環境の安全確認,天井や壁,天井や壁、照明器具の固定が確実にされている,
建物および環境の安全確認,配電盤,配電盤やガス供給システムが地震に耐えられる設計か確認,
建物および環境の安全確認,床の清掃,床の清掃を定期的に行い、転倒のリスクを軽減する,
建物および環境の安全確認,非常用電源,非常用電源やUPSが正常に動作するか定期点検,
消防・防災設備,消火器,消火器の設置位置が分かりやすく、期限切れではないことを確認,
消防・防災設備,火災報知設備,自動火災報知設備やスプリンクラーが正常に作動するか定期点検,
消防・防災設備,非常用資材,非常用資材が備蓄されている,
データ保護,データバックアップ,各装置の稼働データや生産データのバックアップを定期的に実施,
データ保護,データ保存,重要なデータが耐震性の高いサーバーやクラウドに保存されている,
データ保護,電源遮断時対策,電源遮断時に備えてデータ保存が自動で行われる設定がされている,
訓練・演習,避難訓練,年1回以上の地震避難訓練を実施,
訓練・演習,設備停止手順,従業員が設備停止手順を正確に理解しているか確認,
訓練・演習,設備復旧手順,設備復旧に関する手順書が整備されている,
