WKT,id,left,top,right,bottom,MS頻度データ,AD頻度データ,大元1,大元2,大元3,大元4,大元5,MS_年頻度(31年分) N=389,MS重みづけ,AD_年頻度(4年分) N=23049,AD重みづけ,大元の頻度(1957-1967),平均頻度
"MULTIPOLYGON (((139.012449953739 36.4280317292609,139.102281482151 36.4280317292609,139.102281482151 36.3557193410116,139.012449953739 36.3557193410116,139.012449953739 36.4280317292609)))",60817,15474795.14,4359678.846,15484795.14,4349678.846,2,20,1,2,5,10,0,0.064516129,0.001070773,5,4.917015104,1,1.972695292
"MULTIPOLYGON (((139.731102181035 35.9931498720909,139.820933709447 35.9931498720909,139.820933709447 35.9204348511155,139.731102181035 35.9204348511155,139.731102181035 35.9931498720909)))",63535,15554795.14,4299678.846,15564795.14,4289678.846,1,20,1,2,0,0,0,0.032258065,0.000535386,5,4.917015104,0.2,1.705850163
"MULTIPOLYGON (((139.461607595799 36.2108928982705,139.551439124211 36.2108928982705,139.551439124211 36.1383789504378,139.461607595799 36.1383789504378,139.461607595799 36.2108928982705)))",62515,15524795.14,4329678.846,15534795.14,4319678.846,0,13,1,2,5,0,0,0,0,3.25,3.196059817,0.5,1.232019939
"MULTIPOLYGON (((139.731102181035 35.7748041230214,139.820933709447 35.7748041230214,139.820933709447 35.7018885283356,139.731102181035 35.7018885283356,139.731102181035 35.7748041230214)))",63538,15554795.14,4269678.846,15564795.14,4259678.846,1,14,1,2,0,0,0,0.032258065,0.000535386,3.5,3.441910573,0.2,1.214148653
"MULTIPOLYGON (((139.820933709447 35.7748041230214,139.910765237859 35.7748041230214,139.910765237859 35.7018885283356,139.820933709447 35.7018885283356,139.820933709447 35.7748041230214)))",63877,15564795.14,4269678.846,15574795.14,4259678.846,1,14,1,2,0,0,0,0.032258065,0.000535386,3.5,3.441910573,0.2,1.214148653
"MULTIPOLYGON (((139.102281482151 36.3557193410116,139.192113010563 36.3557193410116,139.192113010563 36.2833397129848,139.102281482151 36.2833397129848,139.102281482151 36.3557193410116)))",61157,15484795.14,4349678.846,15494795.14,4339678.846,2,10,1,2,5,10,0,0.064516129,0.001070773,2.5,2.458507552,1,1.153192775
"MULTIPOLYGON (((139.102281482151 36.2833397129848,139.192113010563 36.2833397129848,139.192113010563 36.2108928982705,139.102281482151 36.2108928982705,139.102281482151 36.2833397129848)))",61158,15484795.14,4339678.846,15494795.14,4329678.846,2,10,1,2,5,10,0,0.064516129,0.001070773,2.5,2.458507552,1,1.153192775
"MULTIPOLYGON (((139.641270652623 35.7748041230214,139.731102181035 35.7748041230214,139.731102181035 35.7018885283356,139.641270652623 35.7018885283356,139.641270652623 35.7748041230214)))",63199,15544795.14,4269678.846,15554795.14,4259678.846,2,11,1,2,0,0,0,0.064516129,0.001070773,2.75,2.704358307,0.2,0.96847636
"MULTIPOLYGON (((135.509020345673 34.6740888081184,135.598851874085 34.6740888081184,135.598851874085 34.6001782954813,135.509020345673 34.6001782954813,135.509020345673 34.6740888081184)))",47620,15084795.14,4119678.846,15094795.14,4109678.846,1,11,1,2,0,0,0,0.032258065,0.000535386,2.75,2.704358307,0.2,0.968297898
"MULTIPOLYGON (((139.551439124211 35.7748041230214,139.641270652623 35.7748041230214,139.641270652623 35.7018885283356,139.551439124211 35.7018885283356,139.551439124211 35.7748041230214)))",62860,15534795.14,4269678.846,15544795.14,4259678.846,0,11,1,2,0,0,0,0,0,2.75,2.704358307,0.2,0.968119436
"MULTIPOLYGON (((139.012449953739 36.3557193410116,139.102281482151 36.3557193410116,139.102281482151 36.2833397129848,139.012449953739 36.2833397129848,139.012449953739 36.3557193410116)))",60818,15474795.14,4349678.846,15484795.14,4339678.846,4,7,1,2,5,10,0,0.129032258,0.002141546,1.75,1.720955286,1,0.907698944
"MULTIPOLYGON (((139.192113010563 36.2833397129848,139.281944538975 36.2833397129848,139.281944538975 36.2108928982705,139.192113010563 36.2108928982705,139.192113010563 36.2833397129848)))",61497,15494795.14,4339678.846,15504795.14,4329678.846,2,7,1,2,5,10,0,0.064516129,0.001070773,1.75,1.720955286,1,0.90734202
"MULTIPOLYGON (((139.910765237859 35.7748041230214,140.000596766271 35.7748041230214,140.000596766271 35.7018885283356,139.910765237859 35.7018885283356,139.910765237859 35.7748041230214)))",64216,15574795.14,4269678.846,15584795.14,4259678.846,2,10,1,0,0,0,0,0.064516129,0.001070773,2.5,2.458507552,0.1,0.853192775
"MULTIPOLYGON (((139.371776067387 36.2833397129848,139.461607595799 36.2833397129848,139.461607595799 36.2108928982705,139.371776067387 36.2108928982705,139.371776067387 36.2833397129848)))",62175,15514795.14,4339678.846,15524795.14,4329678.846,2,8,1,2,5,0,0,0.064516129,0.001070773,2,1.966806041,0.5,0.822625605
"MULTIPOLYGON (((138.922618425327 36.4280317292609,139.012449953739 36.4280317292609,139.012449953739 36.3557193410116,138.922618425327 36.3557193410116,138.922618425327 36.4280317292609)))",60478,15464795.14,4359678.846,15474795.14,4349678.846,1,8,1,2,5,0,0,0.032258065,0.000535386,2,1.966806041,0.5,0.822447143
"MULTIPOLYGON (((139.012449953739 36.2833397129848,139.102281482151 36.2833397129848,139.102281482151 36.2108928982705,139.012449953739 36.2108928982705,139.012449953739 36.2833397129848)))",60819,15474795.14,4339678.846,15484795.14,4329678.846,1,8,1,2,5,0,0,0.032258065,0.000535386,2,1.966806041,0.5,0.822447143
"MULTIPOLYGON (((139.551439124211 36.1383789504378,139.641270652623 36.1383789504378,139.641270652623 36.065797923535,139.551439124211 36.065797923535,139.551439124211 36.1383789504378)))",62855,15534795.14,4319678.846,15544795.14,4309678.846,1,8,1,2,5,0,0,0.032258065,0.000535386,2,1.966806041,0.5,0.822447143
"MULTIPOLYGON (((139.641270652623 36.1383789504378,139.731102181035 36.1383789504378,139.731102181035 36.065797923535,139.641270652623 36.065797923535,139.641270652623 36.1383789504378)))",63194,15544795.14,4319678.846,15554795.14,4309678.846,0,8,1,2,5,0,0,0,0,2,1.966806041,0.5,0.82226868
